date,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h)
2024-01-01,41.995416666666664,87.77375,18.067083333333333,7.955416666666667,0.6366666666666666,34.55583333333333,22.025000000000002,64.08333333333333,12.845833333333333
2024-01-02,44.88833333333333,95.89999999999999,18.044583333333332,7.477083333333333,0.65625,35.31875,21.704166666666666,66.0,13.620833333333332
2024-01-03,43.79666666666666,96.14666666666666,18.103333333333335,7.735833333333333,0.6216666666666667,36.87625,21.541666666666668,69.75,12.700000000000001
2024-01-04,47.99125,110.06333333333333,18.28291666666667,7.77,0.69125,32.69833333333333,21.4375,72.33333333333333,13.4125
2024-01-05,38.07208333333333,87.1275,17.62625,7.555833333333333,0.6825,30.69875,22.433333333333334,72.58333333333333,12.279166666666667
2024-01-06,32.73291666666667,82.98583333333333,18.548333333333332,7.39875,0.65,27.856666666666666,22.46666666666667,74.5,13.9625
2024-01-07,27.508750000000003,65.68708333333333,18.175,7.442916666666666,0.6170833333333333,26.96666666666667,22.020833333333332,71.04166666666667,15.3125
2024-01-08,21.98375,52.781666666666666,17.46125,6.842083333333334,0.63375,21.881666666666664,20.316666666666666,88.58333333333333,16.6875
2024-01-09,83.67458333333333,74.18458333333334,17.296666666666667,7.4245833333333335,0.6129166666666667,24.487916666666667,21.2625,75.95833333333333,18.375
2024-01-10,85.83708333333334,86.82875,17.463333333333335,8.43375,0.64,29.43625,20.837500000000002,71.375,14.979166666666666
2024-01-11,39.08625,91.59541666666667,17.200833333333332,7.923333333333333,0.65125,30.835833333333337,21.004166666666666,67.5,14.4125
2024-01-12,44.16708333333333,93.37208333333332,17.397916666666667,7.67625,0.6208333333333333,33.26583333333333,20.8,68.625,15.616666666666667
2024-01-13,54.18083333333333,111.94625,18.198333333333334,8.212916666666667,0.6970833333333334,31.445833333333336,21.329166666666666,71.375,11.454166666666666
2024-01-14,61.92958333333333,130.13541666666666,18.30666666666667,8.845,0.78625,33.90291666666666,21.516666666666666,68.125,12.158333333333333
2024-01-15,56.45249999999999,129.42708333333334,18.013749999999998,9.15625,0.7041666666666666,36.77,21.412499999999998,66.54166666666667,10.833333333333334
2024-01-16,55.46,151.50208333333333,18.128333333333334,8.274583333333334,0.7445833333333334,40.96333333333333,21.433333333333334,64.83333333333333,8.570833333333333
